kanton_kurz,kanton,durchschnittsalter,jahr
fr,Freiburg,39.360673974947254,2012
so,Solothurn,42.590508422309576,2012
ne,Neuenburg,41.43485162859807,2012
ju,Jura,42.04071046275975,2012
bs,Basel-Stadt,43.928945447101434,2012
bl,Basel-Landschaft,43.59061046454043,2012
ag,Aargau,41.221985225943804,2012
zh,Zürich,41.27485417614645,2012
gl,Glarus,42.35428384667603,2012
sh,Schaffhausen,43.292942578032736,2012
ar,Appenzell A.Rh.,42.37151898761743,2012
ai,Appenzell I.Rh.,40.74471942736607,2012
sg,St. Gallen,40.89315954456445,2012
gr,Graubünden,42.97482037372414,2012
tg,Thurgau,41.04039907229072,2012
lu,Luzern,40.82377926900458,2012
ur,Uri,42.2400272516755,2012
sz,Schwyz,41.21431789408832,2012
ow,Obwalden,41.13272912318592,2012
nw,Nidwalden,42.50876013060474,2012
zg,Zug,41.188156907218755,2012
ti,Tessin,44.045944830092424,2012
schweiz,Schweiz,41.64571242578324,2012
vd,Waadt,40.14368130668158,2011
vs,Wallis,41.54233763016955,2011
ge,Genf,40.452759533687015,2011
be,Bern,42.906642285514685,2011
fr,Freiburg,39.235124408790654,2011
so,Solothurn,42.457120621488755,2011
ne,Neuenburg,41.38377970436215,2011
ju,Jura,41.821129561199356,2011
bs,Basel-Stadt,43.99997598878036,2011
bl,Basel-Landschaft,43.38371977097633,2011
ag,Aargau,41.05380147623411,2011
zh,Zürich,41.19141562997593,2011
gl,Glarus,42.1626185756328,2011
sh,Schaffhausen,43.19380312250005,2011
ar,Appenzell A.Rh.,42.20134435411657,2011
ai,Appenzell I.Rh.,40.39987381647566,2011
sg,St. Gallen,40.68802875261255,2011
gr,Graubünden,42.70673234846336,2011
tg,Thurgau,40.84181199206181,2011
lu,Luzern,40.6478829420881,2011
ur,Uri,42.022563492210516,2011
sz,Schwyz,40.96498975658919,2011
ow,Obwalden,40.85545803077192,2011
nw,Nidwalden,42.155981664745404,2011
zg,Zug,40.999857725043725,2011
ti,Tessin,43.914373263883554,2011
schweiz,Schweiz,41.505076442307264,2011
vd,Waadt,40.087113662077094,2010
vs,Wallis,41.337363600312095,2010
ge,Genf,40.3131734813148,2010
be,Bern,42.7284783048004,2010
fr,Freiburg,39.12832814469299,2010
so,Solothurn,42.264497931715304,2010
ne,Neuenburg,41.2648744515792,2010
ju,Jura,41.5447589673292,2010
bs,Basel-Stadt,44.0296505542038,2010
bl,Basel-Landschaft,43.1532538884273,2010
ag,Aargau,40.83738906169759,2010
zh,Zürich,41.128108629725496,2010
gl,Glarus,42.012490416493996,2010
sh,Schaffhausen,43.0712811043009,2010
ar,Appenzell A.Rh.,42.0018107399513,2010
ai,Appenzell I.Rh.,40.273092172361,2010
sg,St. Gallen,40.4854566753044,2010
gr,Graubünden,42.444718696299994,2010
tg,Thurgau,40.6223881438071,2010
lu,Luzern,40.4531493604513,2010
ur,Uri,41.753085370673595,2010
sz,Schwyz,40.6444210454576,2010
ow,Obwalden,40.524597161725396,2010
nw,Nidwalden,41.8066831610764,2010
zg,Zug,40.8944227045666,2010
ti,Tessin,43.750293540432594,2010
schweiz,Schweiz,41.35751083907849,2010
